unique_id,ds,y
T1,1949-01,112
T1,1949-02,118
T1,1949-03,132
T1,1949-04,129
T1,1949-05,121
T1,1949-06,135
T1,1949-07,148
T1,1949-08,148
T1,1949-09,136
T1,1949-10,119
T1,1949-11,104
T1,1949-12,118
T2,1950-01,115
T2,1950-02,126
T2,1950-03,141
T2,1950-04,135
T2,1950-05,125
T2,1950-06,149
T2,1950-07,170
T2,1950-08,170
T2,1950-09,158
T2,1950-10,133
T2,1950-11,114
T2,1950-12,140
T3,1951-01,145
T3,1951-02,150
T3,1951-03,178
T3,1951-04,163
T3,1951-05,172
T3,1951-06,178
T3,1951-07,199
T3,1951-08,199
T3,1951-09,184
T3,1951-10,162
T3,1951-11,146
T3,1951-12,166
T4,1952-01,171
T4,1952-02,180
T4,1952-03,193
T4,1952-04,181
T4,1952-05,183
T4,1952-06,218
T4,1952-07,230
T4,1952-08,242
T4,1952-09,209
T4,1952-10,191
T4,1952-11,172
T4,1952-12,194
T5,1953-01,196
T5,1953-02,196
T5,1953-03,236
T5,1953-04,235
T5,1953-05,229
T5,1953-06,243
T5,1953-07,264
T5,1953-08,272
T5,1953-09,237
T5,1953-10,211
T5,1953-11,180
T5,1953-12,201
T6,1954-01,204
T6,1954-02,188
T6,1954-03,235
T6,1954-04,227
T6,1954-05,234
T6,1954-06,264
T6,1954-07,302
T6,1954-08,293
T6,1954-09,259
T6,1954-10,229
T6,1954-11,203
T6,1954-12,229
T7,1955-01,242
T7,1955-02,233
T7,1955-03,267
T7,1955-04,269
T7,1955-05,270
T7,1955-06,315
T7,1955-07,364
T7,1955-08,347
T7,1955-09,312
T7,1955-10,274
T7,1955-11,237
T7,1955-12,278
T8,1956-01,284
T8,1956-02,277
T8,1956-03,317
T8,1956-04,313
T8,1956-05,318
T8,1956-06,374
T8,1956-07,413
T8,1956-08,405
T8,1956-09,355
T8,1956-10,306
T8,1956-11,271
T8,1956-12,306
T9,1957-01,315
T9,1957-02,301
T9,1957-03,356
T9,1957-04,348
T9,1957-05,355
T9,1957-06,422
T9,1957-07,465
T9,1957-08,467
T9,1957-09,404
T9,1957-10,347
T9,1957-11,305
T9,1957-12,336
T10,1958-01,340
T10,1958-02,318
T10,1958-03,362
T10,1958-04,348
T10,1958-05,363
T10,1958-06,435
T10,1958-07,491
T10,1958-08,505
T10,1958-09,404
T10,1958-10,359
T10,1958-11,310
T10,1958-12,337
T11,1959-01,360
T11,1959-02,342
T11,1959-03,406
T11,1959-04,396
T11,1959-05,420
T11,1959-06,472
T11,1959-07,548
T11,1959-08,559
T11,1959-09,463
T11,1959-10,407
T11,1959-11,362
T11,1959-12,405
T12,1960-01,417
T12,1960-02,391
T12,1960-03,419
T12,1960-04,461
T12,1960-05,472
T12,1960-06,535
T12,1960-07,622
T12,1960-08,606
T12,1960-09,508
T12,1960-10,461
T12,1960-11,390
T12,1960-12,432
